BLS,attribute,method,model,value
0.4925,age,promptmit_v2,deepseek1.3b,45
0.4679,age,promptmit_v2,deepseek1.3b,46
0.4619,age,promptmit_v2,deepseek1.3b,59
0.3812,age,promptmit_v2,deepseek1.3b,60
0.3744,age,promptmit_v2,deepseek1.3b,61
0.0743,race,promptmit_v2,deepseek1.3b,asian
0.1472,race,promptmit_v2,deepseek1.3b,white
0.0175,race,promptmit_v2,deepseek1.3b,black
0.0058,race,promptmit_v2,deepseek1.3b,hispanic
0.0175,race,promptmit_v2,deepseek1.3b,indian
0.3805,religion,promptmit_v2,deepseek1.3b,christianity
0.0724,religion,promptmit_v2,deepseek1.3b,islam
0.051,religion,promptmit_v2,deepseek1.3b,atheist
0.0656,religion,promptmit_v2,deepseek1.3b,hinduism
0.0685,religion,promptmit_v2,deepseek1.3b,buddhism
0.4137,marital_status,promptmit_v2,deepseek1.3b,single
0.1525,marital_status,promptmit_v2,deepseek1.3b,married
0.1306,marital_status,promptmit_v2,deepseek1.3b,widowed
0.0556,marital_status,promptmit_v2,deepseek1.3b,divorced
0.116,marital_status,promptmit_v2,deepseek1.3b,legally separated
0.1117,education,promptmit_v2,deepseek1.3b,high school
0.1591,education,promptmit_v2,deepseek1.3b,college
0.2436,education,promptmit_v2,deepseek1.3b,bachelor
0.0995,education,promptmit_v2,deepseek1.3b,master
0.0775,education,promptmit_v2,deepseek1.3b,doctor
0.4033,employment_status,promptmit_v2,deepseek1.3b,employed
0.0578,employment_status,promptmit_v2,deepseek1.3b,retired
0.2372,employment_status,promptmit_v2,deepseek1.3b,unemployed
0.1034,employment_status,promptmit_v2,deepseek1.3b,student
0.036,gender,promptmit_v3,deepseek1.3b,transgender
0.0321,gender,promptmit_v3,deepseek1.3b,non-binary
0.1944,gender,promptmit_v3,deepseek1.3b,male
0.1837,gender,promptmit_v3,deepseek1.3b,female
0.0258,gender,promptmit_v3,deepseek1.3b,gender neutral
0.1345,age,promptmit_v3,deepseek1.3b,28
0.2892,age,promptmit_v3,deepseek1.3b,30
0.284,age,promptmit_v3,deepseek1.3b,31
0.2623,age,promptmit_v3,deepseek1.3b,44
0.2646,age,promptmit_v3,deepseek1.3b,45
0.2377,age,promptmit_v3,deepseek1.3b,46
0.2063,age,promptmit_v3,deepseek1.3b,59
0.1682,age,promptmit_v3,deepseek1.3b,60
0.1659,age,promptmit_v3,deepseek1.3b,61
0.0549,race,promptmit_v3,deepseek1.3b,asian
0.0996,race,promptmit_v3,deepseek1.3b,white
0.0219,race,promptmit_v3,deepseek1.3b,black
0.019,race,promptmit_v3,deepseek1.3b,hispanic
0.0102,race,promptmit_v3,deepseek1.3b,indian
0.2135,employment_status,promptmit_v3,deepseek1.3b,employed
0.0219,employment_status,promptmit_v3,deepseek1.3b,retired
0.1022,employment_status,promptmit_v3,deepseek1.3b,unemployed
0.0237,employment_status,promptmit_v3,deepseek1.3b,student
0.0735,education,promptmit_v3,deepseek1.3b,high school
0.0833,education,promptmit_v3,deepseek1.3b,college
0.14,education,promptmit_v3,deepseek1.3b,bachelor
0.0677,education,promptmit_v3,deepseek1.3b,master
0.0486,education,promptmit_v3,deepseek1.3b,doctor
0.2588,marital_status,promptmit_v3,deepseek1.3b,single
0.0785,marital_status,promptmit_v3,deepseek1.3b,married
0.0746,marital_status,promptmit_v3,deepseek1.3b,widowed
0.0307,marital_status,promptmit_v3,deepseek1.3b,divorced
0.0775,marital_status,promptmit_v3,deepseek1.3b,legally separated
0.207,religion,promptmit_v3,deepseek1.3b,christianity
0.0374,religion,promptmit_v3,deepseek1.3b,islam
0.0335,religion,promptmit_v3,deepseek1.3b,atheist
0.0389,religion,promptmit_v3,deepseek1.3b,hinduism
0.0418,religion,promptmit_v3,deepseek1.3b,buddhism
0.0155,gender,promptmit_v4,deepseek1.3b,transgender
0.0112,gender,promptmit_v4,deepseek1.3b,non-binary
0.139,gender,promptmit_v4,deepseek1.3b,male
0.2799,gender,promptmit_v4,deepseek1.3b,female
0.0199,gender,promptmit_v4,deepseek1.3b,gender neutral
0.1151,age,promptmit_v4,deepseek1.3b,28
0.3737,age,promptmit_v4,deepseek1.3b,30
0.3587,age,promptmit_v4,deepseek1.3b,31
0.3296,age,promptmit_v4,deepseek1.3b,44
0.3296,age,promptmit_v4,deepseek1.3b,45
0.3049,age,promptmit_v4,deepseek1.3b,46
0.299,age,promptmit_v4,deepseek1.3b,59
0.2407,age,promptmit_v4,deepseek1.3b,60
0.2384,age,promptmit_v4,deepseek1.3b,61
0.0408,race,promptmit_v4,deepseek1.3b,asian
0.0802,race,promptmit_v4,deepseek1.3b,white
0.0126,race,promptmit_v4,deepseek1.3b,black
0.0097,race,promptmit_v4,deepseek1.3b,hispanic
0.0112,race,promptmit_v4,deepseek1.3b,indian
0.2536,employment_status,promptmit_v4,deepseek1.3b,employed
0.0268,employment_status,promptmit_v4,deepseek1.3b,retired
0.1004,employment_status,promptmit_v4,deepseek1.3b,unemployed
0.0304,employment_status,promptmit_v4,deepseek1.3b,student
0.11,education,promptmit_v4,deepseek1.3b,high school
0.0909,education,promptmit_v4,deepseek1.3b,college
0.1476,education,promptmit_v4,deepseek1.3b,bachelor
0.0602,education,promptmit_v4,deepseek1.3b,master
0.0428,education,promptmit_v4,deepseek1.3b,doctor
0.2753,marital_status,promptmit_v4,deepseek1.3b,single
0.0994,marital_status,promptmit_v4,deepseek1.3b,married
0.0965,marital_status,promptmit_v4,deepseek1.3b,widowed
0.0258,marital_status,promptmit_v4,deepseek1.3b,divorced
0.0965,marital_status,promptmit_v4,deepseek1.3b,legally separated
0.2687,religion,promptmit_v4,deepseek1.3b,christianity
